seed,algorithm,success,rmse,trajectoryCost,meanSolveTime,maxSolveTime,totalSolveTime,wheelSpeedViolationRatio,maxWheelSpeedViolation,steeringRateViolationRatio,maxSteeringRateViolation,successRate,elapsedTime
1,active-set,1,0.0153414258266435,9.1230433010292,0.0704694027472528,1.0782418,12.8254313,0,0,0.00828729281767956,239.22519980801,1,13.2279812
2,active-set,1,0.200801016062122,346.759006292187,0.241453769291339,6.57492,30.6646287,0,5.51256986724979e-08,0.0138888888888889,287.386651995775,1,30.8314335
3,active-set,1,0.0354677515359653,21.9992842934847,0.0691147304347826,0.1222143,6.3585552,0,8.29457293960445e-08,0,2.90452106810335e-10,1,6.4718597
4,active-set,1,0.0130775260845384,17.4325947272659,0.0658279641414141,0.3723337,13.0339369,0,0,0.0050761421319797,288.300149996344,1,13.2517694
5,active-set,1,0.166781503119679,179.5563008071,0.236796443243243,5.8024946,17.5229368,0,1.08156088529654e-08,0.00342465753424658,177.647685996246,1,17.6274297
6,active-set,1,0.551391259203675,1744.39983495707,0.20990313649635,5.9005483,28.7567297,0,4.27640571842858e-08,0.0147058823529412,175.706885456411,1,28.8658094
7,active-set,1,0.0639899265213621,83.083022655207,0.07157711,0.1265627,4.2946266,0,5.37921094334592e-08,0,4.72716976673837e-10,1,4.3788232
8,active-set,1,0.0153756481588483,10.9676548476197,0.060104223566879,0.1605704,9.4363631,0,0,0,2.86849655140031e-10,1,9.6119905
9,active-set,1,0.0557419968284712,63.4552993281544,0.0565600964285714,0.1069919,3.1673654,0,2.36955157717489e-08,0,8.22701906599832e-11,1,3.2292686
10,active-set,1,0.0556810884777648,52.3100973784902,0.0704106385826772,0.1384525,8.9421511,0,0,0,3.50457618480959e-09,1,9.0832549
11,active-set,1,0.01959986718093,11.7340960884096,0.0691880860335196,0.8671383,12.3846674,0,0,0,9.6650509817664e-10,1,12.5975189
12,active-set,1,0.0165996548723925,11.1079824713682,0.0661118,0.431431,11.7679004,0,0,0.00282485875706215,199.931682026249,1,11.9594883
13,active-set,1,0.0243605962077439,14.3230925915631,0.0736483944134078,0.5059452,13.1830626,0,0,0.00561797752808989,288.231093811696,1,13.3971359
14,active-set,1,0.117500464918822,127.518459084146,0.11616422745098,2.5912593,5.9243756,0,6.23255429488268e-08,0.005,204.315821538297,1,5.9931437
15,active-set,1,0.0199349781327947,9.24212608016468,0.0594763344444445,0.1106031,10.7057402,0,0,0,2.81917067468385e-09,1,10.9056881
16,active-set,1,0.0917951428406155,98.9587563820295,0.0735449581081081,0.1347531,5.4423269,0,1.20413456539126e-07,0,2.76770606433274e-10,1,5.5367382
17,active-set,1,0.0361439585485619,16.7193397122527,0.0629162857142857,0.1451441,11.450764,0,0,0.00138121546961326,166.455409210254,1,11.6532824
18,active-set,1,0.137374936327061,85.2246446839093,0.0851238981132075,0.1660554,4.5115666,0,5.22773024869139e-09,0,1.89732674016341e-10,1,4.5694305
19,active-set,1,0.0429648287856934,28.6702247695491,0.0727575682352941,0.1310379,6.1843933,0,3.95287882426487e-08,0,5.7859494972945e-11,1,6.2868883
20,active-set,1,0.0153360262748137,12.7643624663609,0.0553670258426966,0.117123,9.8553306,0,0,0,3.86204845881366e-10,1,10.0463396
21,active-set,1,0.0544714342969285,48.3404833433711,0.0890655181818182,1.649787,6.8580449,0,1.92666362863747e-08,0.0131578947368421,238.729431594495,1,6.9561099
22,active-set,1,0.0463811965180089,18.8512153856732,0.070443312962963,1.1641142,11.4118167,0,0,0.0062111801242236,285.213274253423,1,11.5915601
23,active-set,1,0.0193698298381798,11.347282566252,0.0798138073684211,0.1312106,7.5823117,0,0,0,1.9346657609276e-10,1,7.6974338
24,active-set,1,0.0173735608603477,14.5109959515549,0.0698921340540541,0.2343853,12.9300448,0,0,0,2.36148878229869e-10,1,13.1454393
25,active-set,1,0.0244453521936184,9.42948780933529,0.0616453144927536,0.1246356,8.5070534,0,3.92491616985069e-08,0,1.8365788889696e-09,1,8.6613694
26,active-set,1,0.0195633223175998,13.4347162242961,0.0442637554878049,1.6814289,7.2592559,0,0,0.00460122699386503,275.794949354855,1,9.3181759
27,active-set,1,0.0160965040204731,15.5015270357318,0.0302566204419889,0.5380209,5.4764483,0,0,0.00972222222222222,277.807816338827,1,6.0335729
28,active-set,1,0.0847868434139404,91.3590771859592,0.042764512962963,0.3208596,2.3092837,0,4.1780548443171e-07,0.00943396226415094,293.467554870253,1,2.5086955
29,active-set,1,0.0583821355441819,27.6133504667217,0.0322498873873874,0.5558751,3.5797375,0,0,0,1.26395180721772e-06,1,3.9453052
30,active-set,1,0.0388531463859497,22.9238413806625,0.0493146896969697,4.7665223,8.1369238,0,0,0.00152439024390244,181.022615766556,1,8.6016611
31,active-set,1,0.0193345757936017,11.1497483691743,0.0248950894736842,0.0487753,2.8380402,0,0,0,9.73572497287023e-07,1,3.2159964
32,active-set,1,0.0385702271870624,13.9792051109959,0.0227883810344828,0.0563845,2.6434522,0,9.43747879844636e-08,0,6.32078105411438e-08,1,2.9878169
33,active-set,1,0.056444778665219,29.1158748293918,0.0259176844660194,0.078038,2.6695215,0,7.651981590584e-07,0,5.27217203227792e-09,1,3.0079958
34,active-set,1,0.0130728284447743,8.59553780746034,0.0194900624113475,0.0884125,2.7480988,0,0,0,3.18010719979611e-07,1,3.1344889
35,active-set,1,0.087577601080226,121.385770248131,0.027986956097561,0.0522625,2.2949304,0,8.75487104590178e-07,0,3.48091372615045e-07,1,2.5691291
36,active-set,1,0.0470047165791641,29.0507016520023,0.02615593125,0.0454757,2.0924745,0,0,0,1.19150353938835e-06,1,2.3537898
37,active-set,1,0.0186741348399162,15.4180121209173,0.0229541805128205,0.4617519,4.4760652,0,0,0.00515463917525773,238.628238201364,1,5.0571124
38,active-set,1,0.0138907923514821,11.7247832421611,0.0208321727777778,0.0598713,3.7497911,0,0,0,2.9957763771904e-06,1,4.2706055
39,active-set,1,0.0206126352614291,10.5122270767458,0.02052446875,0.0401205,2.2987405,0,0,0,3.63621666110703e-08,1,2.6249489
40,active-set,1,0.0203434731628782,11.0051280267795,0.0288265743589744,1.2615286,4.4969456,0,0,0.00645161290322581,280.097124955428,1,4.9566223
